epoch;loss_train;acc_train;acc_valid;min
270;0.0026518458034843206;99.90660858154297;99.65306091308594;0.67
271;0.0025209293235093355;99.91075134277344;99.6491928100586;0.52
272;0.002453790046274662;99.91241455078125;99.64681243896484;0.52
273;0.002407287247478962;99.91348266601562;99.64553833007812;0.52
274;0.0023736024741083384;99.914306640625;99.64434051513672;0.52
275;0.002348370850086212;99.91495513916016;99.64290618896484;0.52
276;0.0023291930556297302;99.91544342041016;99.6421127319336;0.52
277;0.0023138218093663454;99.9158706665039;99.64107513427734;0.52
278;0.002301235217601061;99.9162826538086;99.64008331298828;0.52
279;0.0022907161619514227;99.91663360595703;99.63935089111328;0.52
280;0.0022819305304437876;99.91696166992188;99.6388168334961;0.5
281;0.002274041762575507;99.91722869873047;99.63859558105469;0.5
282;0.002266922267153859;99.91748809814453;99.63845825195312;0.5
283;0.0022605815902352333;99.91775512695312;99.63837432861328;0.5
284;0.0022547387052327394;99.91796875;99.63823699951172;0.5
285;0.0022493270225822926;99.91818237304688;99.6384048461914;0.5
286;0.002244229894131422;99.91837310791016;99.6385498046875;0.5
287;0.0022394314873963594;99.91857147216797;99.63862609863281;0.5
288;0.002234876388683915;99.91876220703125;99.63861083984375;0.5
289;0.0022306086029857397;99.91889953613281;99.63845825195312;0.5
290;0.0022264886647462845;99.9190673828125;99.63848876953125;0.5
291;0.002222598996013403;99.9192123413086;99.63853454589844;0.5
292;0.0022189284209161997;99.91935729980469;99.63837432861328;0.5
293;0.002215379849076271;99.9195327758789;99.638427734375;0.5
294;0.002211974700912833;99.91963195800781;99.63861846923828;0.5
295;0.0022086692042648792;99.9197998046875;99.63859558105469;0.5
296;0.002205569064244628;99.91989135742188;99.6387939453125;0.5
297;0.0022025348152965307;99.92001342773438;99.63896179199219;0.5
298;0.0021996975410729647;99.92012023925781;99.63898468017578;0.5
299;0.0021969096269458532;99.92024993896484;99.63893127441406;0.5
300;0.0021942760795354843;99.92035675048828;99.63916778564453;0.5
301;0.002191613195464015;99.92047119140625;99.63922119140625;0.5
302;0.0021890096832066774;99.9205322265625;99.63945770263672;0.5
303;0.002186566824093461;99.92066192626953;99.6395263671875;0.5
304;0.0021840825211256742;99.92076110839844;99.63968658447266;0.5
305;0.0021816627122461796;99.92082214355469;99.6397705078125;0.51
306;0.0021794126369059086;99.92091369628906;99.63975524902344;0.51
307;0.0021771115716546774;99.92100524902344;99.64004516601562;0.51
308;0.002175024477764964;99.92107391357422;99.64016723632812;0.51
309;0.0021728933788836002;99.92115783691406;99.6402587890625;0.51
310;0.0021708684507757425;99.9212417602539;99.6402359008789;0.51
311;0.0021688085980713367;99.92131805419922;99.64029693603516;0.51
312;0.0021667967084795237;99.92140197753906;99.64036560058594;0.51
